Employee_ID,First_Name,Last_Name,Age,Department,Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1000,Bob,Davis,25.0,Cloud Tech,California,Pending,2020-10-12,101908.53,grace.brown@example.com,-9872021905,Average,True
EMP1001,Grace,Johnson,25.0,DevOps,Illinois,Inactive,2023-12-07,89287.15,eva.brown@example.com,-724333883,Excellent,False
EMP1002,Grace,Davis,30.0,Sales,Texas,Inactive,2020-07-08,117004.92,frank.jones@example.com,-6533410432,Excellent,True
EMP1003,Frank,Johnson,30.0,Admin,California,Pending,2024-12-18,70522.48,bob.brown@example.com,-7159895654,Good,True
EMP1004,Charlie,Miller,40.0,Finance,California,Inactive,2022-01-17,69458.15,david.jones@example.com,-1103393960,Average,True
EMP1005,David,Miller,40.0,Finance,Florida,Active,2023-11-10,68896.35,david.brown@example.com,-2247387313,Excellent,False
EMP1006,Heidi,Smith,30.0,HR,Texas,Pending,2023-09-04,111345.73,heidi.garcia@example.com,-8862348321,Average,False
EMP1007,Charlie,Williams,40.0,Cloud Tech,Illinois,Active,2021-03-25,112847.6,alice.davis@example.com,-753616928,Average,False
EMP1008,Eva,Brown,40.0,DevOps,California,Pending,2022-12-19,76713.35,unknown@example.com,-8538957456,Good,False
EMP1009,Charlie,Davis,25.0,Finance,Florida,Pending,2021-06-23,116767.11,eva.johnson@example.com,-5048593026,Average,True
EMP1010,Eva,Johnson,40.0,DevOps,Nevada,Active,2024-12-04,51363.37,david.davis@example.com,-1042186646,Excellent,True
EMP1011,Eva,Smith,30.0,DevOps,Texas,Active,2020-12-04,96182.56,david.jones@example.com,-4101203854,Excellent,True
EMP1012,David,Brown,25.0,Finance,Texas,Active,2021-04-16,73665.99,alice.johnson@example.com,-8580820419,Average,False
EMP1013,Heidi,Johnson,30.0,Cloud Tech,Florida,Inactive,2024-12-12,87746.38,grace.johnson@example.com,-9594873771,Excellent,False
EMP1014,Bob,Brown,40.0,Admin,Florida,Inactive,2023-08-31,83994.94,frank.davis@example.com,-8932029179,Good,False
EMP1015,Heidi,Davis,30.0,Finance,Florida,Active,2020-06-03,69498.16,alice.davis@example.com,-6354879578,Average,False
EMP1016,Grace,Brown,30.0,Admin,Florida,Inactive,2020-12-03,110525.53,eva.williams@example.com,-4479896589,Excellent,True
EMP1017,Alice,Miller,30.0,Finance,Nevada,Active,2023-01-15,117809.66,alice.williams@example.com,-9323831578,Poor,True
